Ticker,marketCap,beta,trailingPE,forwardPE,priceToBook,returnOnEquity,profitMargins,dividendYield,return_6m
AAPL,,1.094,40.987843,32.454872,60.866623,149.814,24.295999,39.0,58.619075541551055
MSFT,,1.023,39.673992,36.22408,11.720847,33.280998000000004,36.146,67.0,27.552577537447043
AMZN,,1.281,35.10671,37.447155,7.3552423,24.77,10.5399996,,27.258662484559505
GOOGL,,1.0,27.104641,30.643974,10.313651,34.829,31.118000000000002,31.0,76.5837016040815
META,,1.203,33.215645,29.710278,10.428998,40.647998,39.992002,28.000000000000004,52.98055837447115
NVDA,,2.123,58.81818,50.252426,50.33795,109.417,52.414,2.0,129.12032099806322
JPM,,1.127,15.131748,18.2503,2.4448624,16.436999999999998,34.721002,196.0,53.56891827504968
V,,0.897,33.458824,26.957346,17.03334,51.754999999999995,52.158,68.0,22.639068663344773
PG,,0.364,21.75,20.049866,6.621712,31.902,19.739,284.0,-7.354588008423979
XOM,,0.484,16.517729,14.796696,1.8905754,11.831000399999999,9.404001,340.0,-0.4615787036393981
KO,,0.424,22.63245,23.013468,9.410711,42.442,27.339999999999996,298.0,12.640076022364632
PEP,,0.458,27.787071,16.93627,10.320577,37.162,7.8200005,389.0,-15.504678418233908
